members,committees,district,party,date_assumed_office,twitter,joined
Maria Elena Durazo,"Budget and Fiscal Review, Health, Housing, Judiciary, Labor, Public Employment and Retirement, Local Government",26,Democrat,"December 5, 2022",@SenMariaEDurazo,March 2019
Shannon Grove,"Budget and Fiscal Review, Energy, Utilities and Communications, Health, Military and Veterans Affairs, Natural Resources and Water, Rules",12,Republican,"December 5, 2022",@ShannonGroveCA,December 2018
John Laird,"Budget and Fiscal Review, Judiciary, Labor, Public Employment and Retirement, Local Government, Natural Resources and Water, Rules",17,Democrat,"December 7, 2020",@SenJohnLaird,February 2021
Caroline Menjivar,"Budget and Fiscal Review, Business, Professions and Economic Development, Environmental Quality, Health, Military and Veterans Affairs, Transportation",20,Democrat,"December 5, 2022",@SenatorMenjivar,December 2022
Rosilicie Ochoa Bogh,"Budget and Fiscal Review, Education, Energy, Utilities and Communications, Governmental Organization, Housing, Human Services",19,Republican,"December 2, 2024",@SenOchoaBogh,December 2020
Sasha Renée Pérez,"Budget and Fiscal Review, Education, Environmental Quality, Human Services, Public Safety",25,Democrat,"December 2, 2024",@SashaReneePerez,May 2018
Lola Smallwood-Cuevas,"Budget and Fiscal Review, Business, Professions and Economic Development, Governmental Organization, Labor, Public Employment and Retirement",28,Democrat,"December 5, 2022",@Lola_Smallwood,April 2022
Akilah Weber,"Budget and Fiscal Review, Business, Professions and Economic Development, Governmental Organization, Health, Judiciary",39,Democrat,"December 2, 2024",@asmakilahweber,May 2021
Angelique Ashby,"Business, Professions and Economic Development, Energy, Utilities and Communications, Governmental Organization, Judiciary, Revenue and Taxation",8,Democrat,"December 5, 2022",@SenatorAshby,December 2022
Bob Archuleta,"Business, Professions and Economic Development, Energy, Utilities and Communications, Governmental Organization, Military and Veterans Affairs, Transportation",30,Democrat,"December 5, 2022",@SenBobArchuleta,February 2019
Jesse Arreguín,"Business, Professions and Economic Development, Energy, Utilities and Communications, Housing, Human Services, Local Government, Public Safety, Transportation",7,Democrat,"December 2, 2024",@JesseArreguin,February 2009
Thomas Umberg,"Business, Professions and Economic Development, Elections and Constitutional Amendments, Judiciary, Military and Veterans Affairs, Revenue and Taxation, Transportation",34,Democrat,2018,@SenatorUmberg,December 2018
Lena Gonzalez,"Education, Energy, Utilities and Communications, Environmental Quality, Health, Public Safety, Transportation",33,Democrat,"June 12, 2019",@SenGonzalez33,October 2020
Eloise Gómez Reyes,"Education, Housing, Judiciary, Rules",29,Democrat,"December 2, 2024",@SenEloiseReyes,January 2017
Josh Becker,"Energy, Utilities and Communications, Human Services, Insurance",13,Democrat,"December 7, 2020",@SenJoshBecker,December 2020
Susan Rubio,"Energy, Utilities and Communications, Governmental Organization, Health, Insurance",22,Democrat,"December 3, 2018",@SenSusanRubio,January 2019
Henry Stern,"Energy, Utilities and Communications, Judiciary, Natural Resources and Water",27,Democrat,2016,@SenHenryStern,November 2020
Suzette Martinez Valladares,"Environmental Quality, Governmental Organization, Health, Judiciary, Revenue and Taxation, Transportation",23,Republican,"December 2, 2024",@SenValladares,January 2025
Brian W. Jones,"Governmental Organization, Insurance, Rules",40,Republican,"December 5, 2022",@SenBrianJones,November 2012
Mike McGuire,Rules,2,Democrat,"December 1, 2014",@ilike_mike,August 2009
